w_recon,w_pred,w_grad,roc_auc,pr_auc,best_f1,best_f1_threshold,best_f1_accuracy,best_f1_balanced_accuracy,best_f1_precision,best_f1_recall,best_f1_far,p99_threshold,p99_f1,p99_balanced_accuracy,far_le_1pct_threshold,far_le_1pct_recall,far_le_0.5pct_threshold,far_le_0.5pct_recall
0.5,0.5,0.5,0.889315121,0.7441777005,0.7812212812,0.02664738148,0.9360282932,0.864045056,0.802305827,0.7612001984,0.03311008648,0.09136578664,0.7063526197,0.783476267,0.09136578664,0.5769548686,0.2681444876,0.3308535846
0.5,0.5,1,0.8896291522,0.7656568215,0.7730208949,0.03035573103,0.9325247214,0.8638615497,0.7804032235,0.7657601807,0.03803708135,0.1344529524,0.7044636976,0.7823081074,0.1344529524,0.5746404364,0.3098353371,0.4194494958
0.5,0.5,2,0.8886885154,0.7742948494,0.7458528972,0.03761228547,0.9202260476,0.8625485263,0.7144353048,0.7801427233,0.05504567076,0.2185470447,0.6799074066,0.7671155977,0.2185470447,0.5442359619,0.4209531367,0.4534909351
0.5,0.5,3,0.8879899309,0.7752566487,0.7415198733,0.04468172044,0.9180143533,0.8627335982,0.7035914814,0.7837521353,0.05828493886,0.2973362997,0.6589152708,0.7545859785,0.2973362997,0.5191767234,0.5061603114,0.4688791536
0.5,0.5,4,0.8874027479,0.7737595324,0.7410938415,0.04831349105,0.9176319575,0.8627979338,0.7017314684,0.7844547308,0.05885886324,0.3736103371,0.6541977366,0.7518282702,0.3736103371,0.5136661707,0.5912727818,0.4764699399
0.5,1,0.5,0.8893928315,0.7210922013,0.7750336901,0.02676124312,0.9334011311,0.8638836232,0.7857790112,0.7645616355,0.03679438916,0.09420666248,0.7051434649,0.7826983089,0.09420666248,0.5753843611,0.3789086357,0.1986692015
0.5,1,1,0.8894028275,0.7396462314,0.7672929179,0.03041306138,0.9300009095,0.8637552418,0.7654696776,0.7691078415,0.041597358,0.1369146392,0.7039821588,0.782005027,0.1369146392,0.5740342756,0.4247122288,0.3350140519
0.5,1,2,0.8885912717,0.7582349563,0.7446438303,0.03760781139,0.9196100804,0.8626115944,0.7113608992,0.7811759519,0.05595276311,0.2265728526,0.6778083278,0.7658424983,0.2265728526,0.5416873312,0.5078799129,0.4282939329
0.5,1,3,0.8881438154,0.7651612198,0.7413447522,0.04255981743,0.9177683798,0.8627647409,0.7024025469,0.7841792032,0.05864972131,0.3059308141,0.656489753,0.7531613389,0.3059308141,0.5163250124,0.6327788115,0.4477599603
0.5,1,4,0.8878290744,0.7676562178,0.7410697448,0.04916755855,0.9176216225,0.8627918541,0.7016882317,0.7844547308,0.05887102266,0.3831072226,0.6520455504,0.7505746195,0.3831072226,0.5111588692,0.7191058919,0.4615638949
0.5,2,0.5,0.8888753584,0.7079379742,0.7681071713,0.02674184553,0.9302985581,0.8640267656,0.7668593714,0.76934204,0.04128850887,0.1042943299,0.7015375237,0.780399684,0.1042943299,0.5707554968,0.596802187,0.05905934865
0.5,2,1,0.8888456345,0.7146920444,0.7614757324,0.03043458611,0.9273262063,0.8638324381,0.7501637504,0.7731167686,0.04545189249,0.1469281293,0.6894813726,0.7729681281,0.1469281293,0.5559458864,0.6344135299,0.1947016036
0.5,2,2,0.8880001643,0.7302078408,0.7434846918,0.03762241453,0.9189837782,0.8627820278,0.7081728072,0.7824847082,0.05692065252,0.2318515807,0.6772900122,0.7655224012,0.2318515807,0.5410398413,0.7141325474,0.3522069764
0.5,2,3,0.8876995932,0.7437812006,0.7411975954,0.04370629042,0.9177725138,0.862999735,0.702215264,0.7847440348,0.05874456474,0.3237334549,0.6514706658,0.7502383141,0.3237334549,0.5104838265,0.8072056666,0.4101917672
0.5,2,4,0.8875670594,0.7515910201,0.7410311933,0.05087569356,0.9176050865,0.8627821265,0.701619064,0.7844547308,0.05889047772,0.4027725667,0.6448415678,0.746407264,0.4027725667,0.5028241583,0.9046320841,0.4352234529
0.5,3,0.5,0.8878384456,0.7005558571,0.7628742515,0.0266130548,0.9279669775,0.863846356,0.7537212085,0.7722350802,0.04454236826,0.1216504782,0.6947035196,0.7761695199,0.1216504782,0.5623243511,0.7969963059,0.02122940431
0.5,3,1,0.8883519202,0.7060480739,0.7578784411,0.03038024902,0.925643665,0.8638579943,0.740948395,0.7755827409,0.04786675227,0.1564020783,0.6795003142,0.766840885,0.1564020783,0.5436573538,0.8411607131,0.1002507301
0.5,3,2,0.8876007701,0.7135592835,0.7424134576,0.03755149245,0.9184649601,0.8627264055,0.7057384783,0.783090869,0.057638058,0.2403827213,0.675662842,0.7645386058,0.2403827213,0.5390698187,0.9336073399,0.2666969747
0.5,3,3,0.8872919489,0.725937031,0.7407946934,0.04475846887,0.9176112875,0.8628595136,0.7015804191,0.7846338238,0.05891479655,0.3290519223,0.6505634088,0.7497135956,0.3290519223,0.5094368215,1.015736282,0.3558852703
0.5,3,4,0.8871729635,0.7360140935,0.7407494069,0.05119469017,0.9175513444,0.8629830743,0.7011911501,0.7850195625,0.05905341388,0.4159767628,0.6433435328,0.7455462401,0.4159767628,0.5011021105,1.1082403,0.3995839533
0.5,4,0.5,0.8868982681,0.6948371212,0.7572625717,0.02681609243,0.9255754539,0.8630407701,0.7414972274,0.7736953766,0.04761383644,0.1404838979,0.6849373784,0.7701796267,0.1404838979,0.5503664518,1.010354564,0.01063536673
0.5,4,1,0.8879056342,0.7006781255,0.7545286704,0.03039505146,0.9241471541,0.8635392054,0.733352405,0.7769466027,0.04986819194,0.171240554,0.6689979522,0.7605389988,0.171240554,0.5310657409,1.058710647,0.04794180856
0.5,4,2,0.8872716896,0.7049785555,0.7410707888,0.0374799706,0.9178365909,0.8625723048,0.7028940735,0.7836143715,0.05846976197,0.2521699816,0.6711944281,0.7618534273,0.2521699816,0.5336970298,1.142308396,0.1940265609
0.5,4,3,0.887003995,0.7135564951,0.7401070491,0.04481948912,0.9172971029,0.8627484297,0.7002052631,0.7848129167,0.05931605724,0.334396176,0.6499150685,0.7493270485,0.334396176,0.5086515678,1.237538514,0.2953105196
0.5,4,4,0.8869228938,0.7230399928,0.7403942967,0.05130299926,0.9173901181,0.8629222644,0.7004892079,0.7851022208,0.05925769205,0.4305648461,0.6414750135,0.7444728983,0.4305648461,0.498952995,1.320053577,0.3570424864
1,0.5,0.5,0.8887926371,0.7480591441,0.8049392499,0.0497279577,0.9450445646,0.8670800929,0.861035679,0.7556896457,0.02152945983,0.1419708431,0.7017656718,0.7805577049,0.1419708431,0.5710861299,0.3980690077,0.3292004188
1,0.5,1,0.8890349475,0.7651961823,0.7846814328,0.05303572863,0.937485531,0.8640628018,0.8119585077,0.7591612939,0.03103569031,0.180480136,0.7067680583,0.7837335619,0.180480136,0.5774645947,0.4241001964,0.4281423927
1,0.5,2,0.8893956624,0.7802250993,0.7782720839,0.06076045334,0.9347860237,0.8639609116,0.7943986915,0.7627707059,0.03484888279,0.2646324009,0.7078213561,0.7844430392,0.2646324009,0.5789248912,0.521030426,0.4540833196
1,0.5,3,0.8886600539,0.7812876763,0.7571066058,0.06799317896,0.925606459,0.8626562795,0.7420980908,0.7727172535,0.04740469451,0.3529658467,0.6783428242,0.7661796122,0.3529658467,0.5423761503,0.6146592289,0.4672397641
1,0.5,4,0.8881699868,0.7813527108,0.7471312937,0.07512564957,0.9208316797,0.8626268569,0.7173557491,0.7794676806,0.05421396679,0.4263716906,0.6807797144,0.7676682699,0.4263716906,0.5453656252,0.6745567515,0.4768419022
1,1,0.5,0.8891669555,0.7271845438,0.8013758526,0.04944864288,0.9436596719,0.8669971323,0.8506691421,0.7574667989,0.02347253431,0.1436345942,0.7015197054,0.7803960361,0.1436345942,0.5707554968,0.4926164441,0.2212073621
1,1,1,0.889315121,0.7441777005,0.7812212812,0.05329476297,0.9360282932,0.864045056,0.802305827,0.7612001984,0.03311008648,0.1827315733,0.7063526197,0.783476267,0.1827315733,0.5769548686,0.5362889752,0.3308535846
1,1,2,0.8896291522,0.7656568215,0.7730208949,0.06071146205,0.9325247214,0.8638615497,0.7804032235,0.7657601807,0.03803708135,0.2689059049,0.7044636976,0.7823081074,0.2689059049,0.5746404364,0.6196706742,0.4194494958
1,1,3,0.8891187224,0.7719431093,0.7538275908,0.0679943338,0.924089278,0.8625408766,0.7341201969,0.7746046178,0.04952286456,0.3595994622,0.6773178365,0.7655507624,0.3595994622,0.5411087232,0.7394374207,0.439700777
1,1,4,0.8886885154,0.7742948494,0.7458528972,0.07522457093,0.9202260476,0.8625485263,0.7144353048,0.7801427233,0.05504567076,0.4370940894,0.6799074066,0.7671155977,0.4370940894,0.5442359619,0.8419062734,0.4534909351
